order.id,order.date,customer.id,product.id,quantity
1,1/7/2011,2,48,1
1,1/7/2011,2,52,1
2,1/10/2011,10,76,1
2,1/10/2011,10,52,1
3,1/10/2011,6,2,1
3,1/10/2011,6,50,1
3,1/10/2011,6,1,1
3,1/10/2011,6,4,1
3,1/10/2011,6,34,1
4,1/11/2011,22,26,1
5,1/11/2011,8,96,1
5,1/11/2011,8,66,2
5,1/11/2011,8,35,1
5,1/11/2011,8,72,1
6,1/11/2011,16,45,1
6,1/11/2011,16,39,1
6,1/11/2011,16,87,1
6,1/11/2011,16,31,1
7,1/12/2011,9,2,1
7,1/12/2011,9,15,1
7,1/12/2011,9,10,1
7,1/12/2011,9,65,1
7,1/12/2011,9,87,1
7,1/12/2011,9,55,1
7,1/12/2011,9,7,1
7,1/12/2011,9,67,1
7,1/12/2011,9,61,1
7,1/12/2011,9,18,2
7,1/12/2011,9,96,1
7,1/12/2011,9,42,1
7,1/12/2011,9,56,1
7,1/12/2011,9,93,2
8,1/12/2011,16,35,1
8,1/12/2011,16,96,3
9,1/17/2011,25,29,1
9,1/17/2011,25,13,2
9,1/17/2011,25,18,1
9,1/17/2011,25,16,1
9,1/17/2011,25,36,5
10,1/17/2011,20,19,1
11,1/18/2011,19,11,1
11,1/18/2011,19,13,2
11,1/18/2011,19,10,1
11,1/18/2011,19,39,1
11,1/18/2011,19,23,1
11,1/18/2011,19,65,1
11,1/18/2011,19,43,1
12,1/20/2011,6,27,2
12,1/20/2011,6,49,1
12,1/20/2011,6,67,1
12,1/20/2011,6,11,1
12,1/20/2011,6,26,1
12,1/20/2011,6,39,1
12,1/20/2011,6,28,1
12,1/20/2011,6,32,1
12,1/20/2011,6,22,1
12,1/20/2011,6,13,1
12,1/20/2011,6,29,1
12,1/20/2011,6,63,1
12,1/20/2011,6,31,1
12,1/20/2011,6,15,1
12,1/20/2011,6,40,1
12,1/20/2011,6,10,3
12,1/20/2011,6,37,1
12,1/20/2011,6,8,1
12,1/20/2011,6,57,1
13,1/20/2011,7,4,1
13,1/20/2011,7,18,1
14,1/24/2011,14,87,1
14,1/24/2011,14,76,1
14,1/24/2011,14,69,1
15,1/25/2011,13,3,1
15,1/25/2011,13,35,1
15,1/25/2011,13,65,3
15,1/25/2011,13,5,1
15,1/25/2011,13,19,1
15,1/25/2011,13,84,2
15,1/25/2011,13,90,1
15,1/25/2011,13,16,1
15,1/25/2011,13,1,1
15,1/25/2011,13,88,1
15,1/25/2011,13,44,1
15,1/25/2011,13,22,2
16,1/25/2011,9,73,4
16,1/25/2011,9,91,1
16,1/25/2011,9,95,1
16,1/25/2011,9,94,1
16,1/25/2011,9,3,1
16,1/25/2011,9,72,1
16,1/25/2011,9,65,1
16,1/25/2011,9,49,2
17,1/26/2011,5,38,1
18,1/28/2011,8,21,1
18,1/28/2011,8,64,1
19,1/28/2011,2,66,2
19,1/28/2011,2,61,1
20,1/28/2011,10,9,1
20,1/28/2011,10,14,1
20,1/28/2011,10,50,1
20,1/28/2011,10,85,1
20,1/28/2011,10,16,1
20,1/28/2011,10,27,1
20,1/28/2011,10,79,1
20,1/28/2011,10,78,1
20,1/28/2011,10,77,1
21,2/1/2011,17,51,1
21,2/1/2011,17,3,4
21,2/1/2011,17,61,1
21,2/1/2011,17,26,1
21,2/1/2011,17,65,1
22,2/1/2011,21,33,2
22,2/1/2011,21,36,1
22,2/1/2011,21,74,1
22,2/1/2011,21,37,1
22,2/1/2011,21,87,3
22,2/1/2011,21,24,1
22,2/1/2011,21,43,2
22,2/1/2011,21,79,1
22,2/1/2011,21,28,1
22,2/1/2011,21,10,2
23,2/4/2011,8,48,1
23,2/4/2011,8,71,1
23,2/4/2011,8,92,1
23,2/4/2011,8,30,1
23,2/4/2011,8,42,1
24,2/7/2011,22,40,1
24,2/7/2011,22,29,7
24,2/7/2011,22,2,3
24,2/7/2011,22,37,1
24,2/7/2011,22,6,1
24,2/7/2011,22,73,1
24,2/7/2011,22,42,2
24,2/7/2011,22,97,1
24,2/7/2011,22,92,1
24,2/7/2011,22,18,1
24,2/7/2011,22,12,1
25,2/7/2011,14,16,1
25,2/7/2011,14,13,1
25,2/7/2011,14,71,1
26,2/9/2011,3,13,1
27,2/10/2011,10,8,1
27,2/10/2011,10,79,1
27,2/10/2011,10,20,1
27,2/10/2011,10,92,2
27,2/10/2011,10,71,1
27,2/10/2011,10,70,1
27,2/10/2011,10,78,3
27,2/10/2011,10,89,1
27,2/10/2011,10,80,1
27,2/10/2011,10,61,1
27,2/10/2011,10,69,1
27,2/10/2011,10,40,2
28,2/10/2011,2,47,1
28,2/10/2011,2,79,1
28,2/10/2011,2,61,1
28,2/10/2011,2,97,1
28,2/10/2011,2,66,2
28,2/10/2011,2,5,1
28,2/10/2011,2,58,1
28,2/10/2011,2,89,1
28,2/10/2011,2,7,1
28,2/10/2011,2,72,1
28,2/10/2011,2,6,1
28,2/10/2011,2,25,1
28,2/10/2011,2,75,1
28,2/10/2011,2,38,1
28,2/10/2011,2,62,1
28,2/10/2011,2,60,1
28,2/10/2011,2,52,1
28,2/10/2011,2,12,2
28,2/10/2011,2,15,1
29,2/11/2011,2,79,1
29,2/11/2011,2,69,1
29,2/11/2011,2,66,1
29,2/11/2011,2,54,1
29,2/11/2011,2,3,1
30,2/14/2011,22,9,3
30,2/14/2011,22,7,1
31,2/15/2011,2,65,1
31,2/15/2011,2,71,1
31,2/15/2011,2,82,1
31,2/15/2011,2,50,1
32,2/15/2011,16,19,2
32,2/15/2011,16,45,1
32,2/15/2011,16,53,1
32,2/15/2011,16,34,1
32,2/15/2011,16,71,1
32,2/15/2011,16,69,1
32,2/15/2011,16,28,1
32,2/15/2011,16,12,2
32,2/15/2011,16,75,6
32,2/15/2011,16,7,1
32,2/15/2011,16,76,1
32,2/15/2011,16,80,3
32,2/15/2011,16,44,1
32,2/15/2011,16,56,1
32,2/15/2011,16,91,1
32,2/15/2011,16,60,1
32,2/15/2011,16,26,1
32,2/15/2011,16,15,1
32,2/15/2011,16,46,1
32,2/15/2011,16,82,3
32,2/15/2011,16,73,2
32,2/15/2011,16,85,1
32,2/15/2011,16,16,1
33,2/15/2011,8,97,2
33,2/15/2011,8,93,1
34,2/16/2011,10,97,1
34,2/16/2011,10,2,1
34,2/16/2011,10,19,1
34,2/16/2011,10,71,1
34,2/16/2011,10,94,1
34,2/16/2011,10,41,1
34,2/16/2011,10,72,1
34,2/16/2011,10,30,1
34,2/16/2011,10,90,1
34,2/16/2011,10,47,2
34,2/16/2011,10,92,1
34,2/16/2011,10,55,1
34,2/16/2011,10,14,1
34,2/16/2011,10,95,1
34,2/16/2011,10,76,1
34,2/16/2011,10,42,1
34,2/16/2011,10,9,3
34,2/16/2011,10,89,1
34,2/16/2011,10,83,1
34,2/16/2011,10,84,1
34,2/16/2011,10,93,1
34,2/16/2011,10,18,1
34,2/16/2011,10,13,1
34,2/16/2011,10,96,1
34,2/16/2011,10,56,1
35,2/17/2011,20,12,2
35,2/17/2011,20,77,1
35,2/17/2011,20,86,1
35,2/17/2011,20,74,1
35,2/17/2011,20,36,1
35,2/17/2011,20,90,1
35,2/17/2011,20,18,3
35,2/17/2011,20,46,1
35,2/17/2011,20,1,1
36,2/18/2011,30,75,1
36,2/18/2011,30,24,1
36,2/18/2011,30,39,1
36,2/18/2011,30,69,1
36,2/18/2011,30,86,1
